wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,DC,LL#1,"Tuesday, 08/26",Welcome + Orientation,,Welcome & What to Expect,Pre-Experience Reflection Paper,
1B,DC,LL#2,"Thursday, 08/28",TikTok #1,,SkillBuilder 1: Querying Data in SQL,Milestone 1: YouTube Viral Videos,"In this lab, we’ll see how record labels use TikTok to spot trends, discover new artists, and predict the next big thing in music. 🎵"
1B,DC,LL#3,"Tuesday, 09/02",Story Circles,,,Career Milestone #1: Building Your Online Presence,"In this lab, we will come together to share personal stories, listen to diverse perspectives, and build intercultural understanding in a supportive and safe environment. As a reminder, please make sure you show up on time, have your camera on, and are able to come off mute to fully participate."
1B,DC,LL#4,"Thursday, 09/04",TikTok #2,,SkillBuilder 2: Filtering Data with WHERE,Milestone 2: Analyzing Startup Investments,"In this lab, we’ll finally dive into TikTok data to uncover trends and discover our own rising star. 🎵"
1B,DC,LL#5,"Tuesday, 09/09",Too Sweet,,SkillBuilder 3: Aggregating Data,Milestone 3: London Transit Analysis,"In this lab, we’re diving into data from Too Sweet, an amazing bakery 🧁🍪. We’ll explore how data-driven strategies can help this small business tackle challenges like managing inventory, identifying best-sellers, and optimizing customer satisfaction."
1B,DC,LL#6,"Thursday, 09/11",Terracotta,,SkillBuilder 4: Filtering on Aggregated Data,Milestone 4: NBA Performance Analysis,"In this lab, we’re working with data from Terracotta, a charming plant shop in Boulder, CO 🪴. Our focus will be on getting more practice with WHERE vs. HAVING in SQL, and we'll explore how these clauses help us analyze sales data, filter results, and uncover insights to support Terracotta’s growth."
1B,DC,LL#7,"Tuesday, 09/16",What is a Data Analyst,,,,"In this session, we’ll team up with the Data Analytics track to explore the world of data analytics and answer key questions about the role of a Data Analyst. We’ll discuss what data analysts do on a daily basis, the tools they use, and the types of projects they work on. We’ll also dive into salary expectations, job titles you might see, and the exciting career paths this field offers—from entry-level roles to leadership positions. This is a great opportunity to gain insights into what a future in data analytics could look like and ask any burning questions you might have about the field!

Important: This session will be held in a different Zoom room. Please join us here: [Zoom Link]."
1B,DC,LL#8,"Thursday, 09/18",Travelocity,,SkillBuilder 5: Joining Data,LevelUp Milestone: Traffic Collisions in California (20pts Extra Credit),"In this lab, we’re diving into data from Travelocity, a go-to platform for planning dream vacations ✈️🏖️. Our focus will be on practicing SQL joins to combine tables and uncover insights. You’ll also have time to select your own tours and itineraries to plan the ultimate getaway!"
1B,DC,LL#9,"Tuesday, 09/23",Your Future with AI,,SkillBuilder 6: Types of JOINs,Milestone 6: FastKitchen Customer Analysis,"In this lab, we’ll explore Your Future with AI—reflect on what matters 💭, imagine future roles, and map the skills you’ll need to grow in an AI-powered world."
1B,DC,LL#10,"Thursday, 09/25",Instacart Take-Home Challenge,,SkillBuilder 7: Cleaning & Organizing Data,Milestone 7: GameJet Microtransactions,"In this lab, our client is Instacart, a leading online grocery delivery service revolutionizing the way people shop for groceries. 🛒 We’ll work with a dataset inspired by a real take-home challenge that Instacart has given to prospective data analyst candidates. This is a fantastic opportunity to gain hands-on experience analyzing customer behavior, product trends, and delivery efficiencies—just like you might in a real-world role!"
