wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2A,DM,LL#1,"Monday, 08/25",Welcome to the Global Career Accelerator,,The Welcome & What To Expect,Pre-Experience Self Reflection,
2A,DM,LL#2,"Wednesday, 08/27",Intro to eCommerce,,Skillbuilder 1,Milestone 1 & Setup Your Shopify Store ,
2A,DM,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
2A,DM,LL#4,"Wednesday, 09/03",Story Circles,,Global Skillbuilder: Seeking Other Stories,Career Milestone 1,
2A,DM,LL#5,"Monday, 09/08",Design and Build A Website,,Skillbuilder 2,Milestone 2,
2A,DM,LL#6,"Wednesday, 09/10",Brand Voice & Visuals,,Skillbuilder 3 Skillbuilder 4,Milestone 3/4 & Get Your Semrush Certificate ,
2A,DM,LL#7,"Monday, 09/15",SEO Keyword Research,,Skillbuilder 5 + SEMrush Setup & Certificate,Milestone 5,
2A,DM,LL#8,"Wednesday, 09/17",SEO Meta Data,,Skillbuilder 6,Milestone 6 & Meta Ads Setup,
2A,DM,LL#9,"Monday, 09/22",Conversation Rate Optimization,,Skillbuilder 7,Milestone 7 ,
2A,DM,LL#10,"Wednesday, 09/24",Offers & Promos / AB Testing,,Skillbuilder 8 Skillbuilder 9,Milestone 8/9,
2A,DM,LL#11,"Monday, 09/29",Career Session: LinkedIn,,Skillbuilder 10: Emails for eCommerce,Career Milestone 2 & Milestone 10 ,
2A,DM,LL#12,"Wednesday, 10/01",Portfolio Work Day,,,Portfolio Project,
2A,DM,LL#1,"Monday, 10/06",,,,,
2A,DM,LL#2,"Wednesday, 10/08",,,,,
2A,DM,LL#3,"Monday, 10/13 SKIPPED FOR HOLIDAY!",,,,,
2A,DM,LL#4,"Wednesday, 10/15",,,,,
2A,DM,LL#5,"Monday, 10/20",,,,,
2A,DM,LL#6,"Wednesday, 10/22",,,,,
2A,DM,LL#7,"Monday, 10/27",,,,,
2A,DM,LL#8,"Wednesday, 10/29",,,,,
2A,DM,LL#9,"Monday, 11/03",,,,,
2A,DM,LL#10,"Wednesday, 11/05",,,,,
2A,DM,LL#11,"Monday, 11/10",,,,,
2A,DM,LL#12,"Wednesday, 11/12",,,,,
