wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2B,DM,LL#1,"Tuesday, 08/26",Welcome to the Global Career Accelerator,,The Welcome & What To Expect,Pre-Experience Self Reflection,
2B,DM,LL#2,"Thursday, 08/28",Intro to eCommerce,,Skillbuilder 1:,Milestone 1 & Setup Your Shopify Store ,
2B,DM,LL#3,"Tuesday, 09/02",Story Circles,,Global Skillbuilder: Seeking Other Stories,Career Milestone 1,
2B,DM,LL#4,"Thursday, 09/04",Design and Build A Website,,Skillbuilder 2:,Milestone 2,
2B,DM,LL#5,"Tuesday, 09/09",Brand Voice & Visuals,,Skillbuilder 3 Skillbuilder 4,Milestone 3/4 & Get Your Semrush Certificate ,
2B,DM,LL#6,"Thursday, 09/11",SEO Keyword Research,,Skillbuilder 5 + SEMrush Setup & Certificate,Milestone 5,
2B,DM,LL#7,"Tuesday, 09/16",SEO Meta Data,,Skillbuilder 6,Milestone 6 & Meta Ads Setup,
2B,DM,LL#8,"Thursday, 09/18",Conversation Rate Optimization,,Skillbuilder 7,Milestone 7 ,
2B,DM,LL#9,"Tuesday, 09/23",Offers & Promos / AB Testing,,Skillbuilder 8 Skillbuilder 9,Milestone 8/9,
2B,DM,LL#10,"Thursday, 09/25",Emails ,,Skillbuilder 10: Emails for eCommerce,Milestone 10 ,
2B,DM,LL#11,"Tuesday, 09/30",Career Session: LinkedIn,,,Career Milestone 2 ,
2B,DM,LL#12,"Thursday, 10/02",Portfolio Work Day,,,Portfolio Project,
2B,DM,LL#1,"Tuesday, 10/07",Social Media Strategy,,SkillBuilder 1: Social Media Strategy,Milestone 1: Go Organic,
2B,DM,LL#2,"Thursday, 10/09",UGC with AI,,SkillBuilder 2: User-Generated Content,Milestone 2: Do It For the Gram & Career Milestone: Job Qualifications Analysis,
2B,DM,LL#3,"Tuesday, 10/14",Working w/ Influencers,,SkillBuilder 3: Influencer Marketing,Milestone 3: Creator Curator,
2B,DM,LL#4,"Thursday, 10/16",Paid Social: Campaigns Objectives and Targeting,,SkillBuilder 4: Paid Social - Campaigns & Objectives & SkillBuilder 5: Ad Groups & Targeting,Milestone 4 & 5: But First Objectives and Targeting,
2B,DM,LL#5,"Tuesday, 10/21",Paid Social: Ads & Placements,,SkillBuilder 6: Paid Social - Ads & Placements,Milestone 6: Let's Add Ads! & Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2B,DM,LL#6,"Thursday, 10/23",Campaign Analysis & Optimization,,SkillBuilder 7: Campaign Analytics & Optimization,Milestone 7: Reporting For Duty!,
2B,DM,LL#7,"Tuesday, 10/28",Climb Together Workshop,,,,
2B,DM,LL#8,"Thursday, 10/30",Paid Search: Keyword Strategy & Copywriting,,SkillBuilder 8: Paid Search - Campaign Structure & KPIs & SkillBuilder 9: Paid Search - Copywriting & Optimization,Milestone 8 & 9: Search Party,
2B,DM,LL#9,"Tuesday, 11/04",Mukti’s Kitchen LiveLab,,SkillBuilder 10: Marketing to Existing Customers,Milestone 10: Groupie Time!,
2B,DM,LL#10,"Thursday, 11/06",Career Ready Workshop,,Portfolio Project,Global Career Readiness - Self Reflection & Career Milestone: Apply to a Job or Internship,
2B,DM,LL#11,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
2B,DM,LL#12,"Thursday, 11/13",Portfolio Project & What’s Next,,Your Future Awaits!,Submit Your Charity Water Portfolio Project,
