wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2C,DM,LL#1,"Wednesday, 08/27",Welcome to the Global Career Accelerator,,The Welcome & What To Expect,Pre-Experience Self Reflection,
2C,DM,LL#2,"Friday, 08/29",Intro to eCommerce,,Skillbuilder 1:,Milestone 1 & Setup Your Shopify Store ,
2C,DM,LL#3,"Wednesday, 09/03",Story Circles,,Global Skillbuilder: Seeking Other Stories,Career Milestone 1,
2C,DM,LL#4,"Friday, 09/05",Design and Build A Website,,Skillbuilder 2:,Milestone 2,
2C,DM,LL#5,"Wednesday, 09/10",Brand Voice & Visuals,,Skillbuilder 3 Skillbuilder 4,Milestone 3/4 & Get Your Semrush Certificate ,
2C,DM,LL#6,"Friday, 09/12",SEO Keyword Research,,Skillbuilder 5 + SEMrush Setup & Certificate,Milestone 5,
2C,DM,LL#7,"Wednesday, 09/17",SEO Meta Data,,Skillbuilder 6,Milestone 6 & Meta Ads Setup,
2C,DM,LL#8,"Friday, 09/19",Conversation Rate Optimization,,Skillbuilder 7,Milestone 7 ,
2C,DM,LL#9,"Wednesday, 09/24",Offers & Promos / AB Testing,,Skillbuilder 8 Skillbuilder 9,Milestone 8/9,
2C,DM,LL#10,"Friday, 09/26",Emails ,,Skillbuilder 10: Emails for eCommerce,Milestone 10 ,
2C,DM,LL#11,"Wednesday, 10/01",Career Session: LinkedIn,,,Career Milestone 2 ,
2C,DM,LL#12,"Friday, 10/03",Portfolio Work Day,,,Portfolio Project,
2C,DM,LL#1,"Wednesday, 10/08",,,,,
2C,DM,LL#2,"Friday, 10/10",,,,,
2C,DM,LL#3,"Wednesday, 10/15",,,,,
2C,DM,LL#4,"Friday, 10/17",,,,,
2C,DM,LL#5,"Wednesday, 10/22",,,,,
2C,DM,LL#6,"Friday, 10/24",,,,,
2C,DM,LL#7,"Wednesday, 10/29",,,,,
2C,DM,LL#8,"Friday, 10/31",,,,,
2C,DM,LL#9,"Wednesday, 11/05",,,,,
2C,DM,LL#10,"Friday, 11/07",,,,,
2C,DM,LL#11,"Wednesday, 11/12",,,,,
2C,DM,LL#12,"Friday, 11/14",,,,,
