wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
3A,RT,,"Monday, 09/29",,,,,
3A,RT,LL#1,"Wednesday, 10/01",Welcome to Career Rotation,,Welcome & What to Expect,Pre-Experience Self Reflection,
3A,RT,LL#2,"Monday, 10/06",Branding with Fresh Monster,,Branding / charity: water,Project: Design a Landing Page for charity: water,
3A,RT,LL#3,"Wednesday, 10/08",Nomadiq's Travel Destinations,,Building a Website / charity: water ,,
3A,RT,LL#4,"Monday, 10/13 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
3A,RT,LL#5,"Wednesday, 10/15",Story Circles,,,Project: Build a Landing Page for charity: water,
3A,RT,LL#6,"Monday, 10/20",The National Park Service,,Analyzing Data / Intel,Project: Sustainability Impact Analysis for Intel & 🎯 Career Milestone: Build Your Career Network Profiles,
3A,RT,LL#7,"Wednesday, 10/22",What is a Data Analyst?,,,,
3A,RT,LL#8,"Monday, 10/27",Critiquing Visualizations,,Visualizing Data / Intel,Project: Tell a Data Story for Intel's Sustainability Report & LevelUp: NYC Film Data Analysis (20pts Extra Credit),
3A,RT,LL#9,"Wednesday, 10/29",Your Future with AI,,Practical Gen AI Foundations,Project: AI and Your Future ,
3A,RT,LL#10,"Monday, 11/03",LinkedIn Workshop,,,Career Milestone: Optimize Your LinkedIn Profile,
3A,RT,,"Wednesday, 11/05",,,,,
3A,RT,,"Monday, 11/03",,,,,
3A,RT,,"Wednesday, 11/05",,,,,
3A,RT,LL#1,"Monday, 11/10",Party Snaps: Ad Creatives,,,,
3A,RT,LL#2,"Wednesday, 11/12",What is a Digital Marketer,,Social Media Strategy / The Grammys,,
3A,RT,LL#3,"Monday, 11/17",BuzzFeed: A/B Testing,,,,
3A,RT,LL#4,"Wednesday, 11/19",Bombas: SEO Keyword Trends & Meta Data,,A/B Testing / The Grammys 🎵,,
3A,RT,LL#5,"Monday, 11/24",User Experience and Prioritization,,Search Engine Optimization (SEO) / L'Oréal ,,
3A,RT,LL#6,"Wednesday, 11/26 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
3A,RT,LL#7,"Monday, 12/01",Climb Together Workshop,,UX Research and Design / L'Oréal,,
3A,RT,LL#8,"Wednesday, 12/03",Company Panel,,,,
3A,RT,LL#9,"Monday, 12/08",CareerReady Workshop,,Your Future Awaits,,
3A,RT,LL#10,"Wednesday, 12/10",Wrap Up + Reflections,,,,
