wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2A,WD,LL#1,"Monday, 08/25",Welcome + Orientation,,Welcome & What To Expect,,
2A,WD,LL#2,"Wednesday, 08/27",Dev Shop Onboarding Day,,Week 1: Web Development w/AI,,
2A,WD,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
2A,WD,LL#4,"Wednesday, 09/03",Story Circles,,Global SkillBuilder 1: Seeking Other Stories,,
2A,WD,LL#5,"Monday, 09/08",What is a Web Developer / AMA ,,Week 2: Build Your Portfolio Website,,
2A,WD,LL#6,"Wednesday, 09/10",Responsive Website,,Week 3: Intel / Responsive Design,,
2A,WD,LL#7,"Monday, 09/15",Building Better with Bootstrap,,LevelUp[Optional]: Coding Without AI Challenge,,
2A,WD,LL#8,"Wednesday, 09/17",Why Accessibility Matters,,Week 4: Intel /Localization & Accessibility,,
2A,WD,LL#9,"Monday, 09/22",Skullcaps ,,Week 5: Intel / Adding Interactivity,,
2A,WD,LL#10,"Wednesday, 09/24",The Power of Javascript,,,,
2A,WD,LL#11,"Monday, 09/29",LinkedIn Workshop,,Career Milestone #2: Optimize your LinkedIn Profile,,
2A,WD,LL#12,"Wednesday, 10/01",From Sketch to Basic Prototype,,Week 6: charity: water / User Experience,,
2A,WD,LL#1,"Monday, 10/06",Working Game Prototype,,,,
2A,WD,LL#2,"Wednesday, 10/08",JavaScript - No AI,,,,
2A,WD,LL#3,"Monday, 10/13 SKIPPED FOR HOLIDAY!",,,,,Please check out your media gallery section here in HQ to review your LiveLab 3: Debugging on 10/15.
2A,WD,LL#4,"Wednesday, 10/15", The DOM ,,,,
2A,WD,LL#5,"Monday, 10/20",FETCH Quest,,,,
2A,WD,LL#6,"Wednesday, 10/22",Meal DB,,,,
2A,WD,LL#7,"Monday, 10/27",Feedback in the Workplace Workshop,,,,
2A,WD,LL#8,"Wednesday, 10/29",NextSpace  ,,,,
2A,WD,LL#9,"Monday, 11/03",WayChat + Waymark,,,,
2A,WD,LL#10,"Wednesday, 11/05",API Mashup: OpenAI 🤝 MealDB,,,,
2A,WD,LL#11,"Monday, 11/10",CareerReady Workshop,,,,
2A,WD,LL#12,"Wednesday, 11/12",Wrap Up + Reflections,,,,
