wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2B,WD,LL#1,"Tuesday, 08/26",Welcome + Orientation,,Welcome & What To Expect,,
2B,WD,LL#2,"Thursday, 08/28",DevShop Onboarding Day,,Week 1: Web Development w/AI,,
2B,WD,LL#3,"Tuesday, 09/02",Story Circles,,Global SkillBuilder 1: Seeking Other Stories,,
2B,WD,LL#4,"Thursday, 09/04",Caffeinated Style Sheet,,Week 2: Build Your Portfolio Website,,
2B,WD,LL#5,"Tuesday, 09/09",What is a Web Developer / AMA ,,Week 3: Intel / Responsive Design,,
2B,WD,LL#6,"Thursday, 09/11",Responsive Website,,LevelUp[Optional]: Coding Without AI Challenge,,
2B,WD,LL#7,"Tuesday, 09/16",Building Better with Bootstrap,,Week 4: Intel /Localization & Accessibility,,
2B,WD,LL#8,"Thursday, 09/18",Why Accessibility Matters,,Week 5: Intel / Adding Interactivity,,
2B,WD,LL#9,"Tuesday, 09/23",Skullcaps ,,,,
2B,WD,LL#10,"Thursday, 09/25",The Power of Javascript,,Career Milestone #2: Optimize your LinkedIn Profile,,
2B,WD,LL#11,"Tuesday, 09/30",LinkedIn Workshop,,Week 6: charity: water / User Experience,,
2B,WD,LL#12,"Thursday, 10/02",From Sketch to Basic Prototype,,,,
2B,WD,LL#1,"Tuesday, 10/07",Working Game Prototype,,,,
2B,WD,LL#2,"Thursday, 10/09",JavaScript - No AI,,,,
2B,WD,LL#3,"Tuesday, 10/14",LoopCraft: Debugging for Lantana,,,,
2B,WD,LL#4,"Thursday, 10/16", The DOM ,,,,
2B,WD,LL#5,"Tuesday, 10/21",FETCH Quest,,,,
2B,WD,LL#6,"Thursday, 10/23",Meal DB,,,,
2B,WD,LL#7,"Tuesday, 10/28",Feedback in the Workplace Workshop,,,,
2B,WD,LL#8,"Thursday, 10/30",NextSpace  ,,,,
2B,WD,LL#9,"Tuesday, 11/04",WayChat + Waymark,,,,
2B,WD,LL#10,"Thursday, 11/06",API Mashup: OpenAI 🤝 MealDB,,,,
2B,WD,LL#11,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,
2B,WD,LL#12,"Thursday, 11/13",Wrap Up + Reflections,,,,
