wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2C,WD,LL#1,"Wednesday, 08/27",Welcome + Orientation,,Welcome & What To Expect,,
2C,WD,LL#2,"Friday, 08/29",DevShop Onboarding Day,,Week 1: Web Development w/AI,,
2C,WD,LL#3,"Wednesday, 09/03",Story Circles,,Global SkillBuilder 1: Seeking Other Stories,,
2C,WD,LL#4,"Friday, 09/05",Caffeinated Style Sheet,,Week 2: Build Your Portfolio Website,,
2C,WD,LL#5,"Wednesday, 09/10",What is a Web Developer / AMA ,,Week 3: Intel / Responsive Design,,
2C,WD,LL#6,"Friday, 09/12",Responsive Website,,LevelUp[Optional]: Coding Without AI Challenge,,
2C,WD,LL#7,"Wednesday, 09/17",Building Better with Bootstrap,,Week 4: Intel /Localization & Accessibility,,
2C,WD,LL#8,"Friday, 09/19",Why Accessibility Matters,,Week 5: Intel / Adding Interactivity,,
2C,WD,LL#9,"Wednesday, 09/24",Skullcaps ,,,,
2C,WD,LL#10,"Friday, 09/26",The Power of Javascript,,Career Milestone #2: Optimize your LinkedIn Profile,,
2C,WD,LL#11,"Wednesday, 10/01",LinkedIn Workshop,,Week 6: charity: water / User Experience,,
2C,WD,LL#12,"Friday, 10/03",From Sketch to Basic Prototype,,,,
2C,WD,LL#1,"Wednesday, 10/08",Working Game Prototype,,,,
2C,WD,LL#2,"Friday, 10/10",JavaScript - No AI,,,,
2C,WD,LL#3,"Wednesday, 10/15",LoopCraft: Debugging for Lantana,,,,
2C,WD,LL#4,"Friday, 10/17", The DOM ,,,,
2C,WD,LL#5,"Wednesday, 10/22",FETCH Quest,,,,
2C,WD,LL#6,"Friday, 10/24",Meal DB,,,,
2C,WD,LL#7,"Wednesday, 10/29",Feedback in the Workplace Workshop,,,,
2C,WD,LL#8,"Friday, 10/31",NextSpace  ,,,,
2C,WD,LL#9,"Wednesday, 11/05",WayChat + Waymark,,,,
2C,WD,LL#10,"Friday, 11/07",API Mashup: OpenAI 🤝 MealDB,,,,
2C,WD,LL#11,"Wednesday, 11/12",CareerReady Workshop,,,,
2C,WD,LL#12,"Friday, 11/14",Wrap Up + Reflections,,,,
